Echunga Ceek Area September 1989 = 34.2km^2,,
,,
Time,Rainfall,Measured 
hours,(mm),Flow (m^3/s)
0,0.00,0.06
1,1.00,0.06
2,2.40,0.06
3,3.00,0.06
4,3.20,0.07
5,1.40,0.07
6,0.00,0.08
7,0.20,0.10
8,1.60,0.17
9,0.20,0.29
10,0.40,0.38
11,1.20,0.44
12,0.80,0.53
13,1.20,0.59
14,0.20,1.08
15,2.00,1.24
16,1.80,1.33
17,2.00,1.29
18,0.20,1.47
19,1.60,2.11
20,0.00,2.56
21,0.00,2.94
22,0.00,3.13
23,2.20,3.15
24,1.80,3.04
25,4.00,2.92
26,0.00,3.12
27,3.20,4.00
28,0.20,4.73
29,1.20,5.18
30,0.00,5.53
31,0.80,5.57
32,0.40,5.10
33,0.80,4.37
34,1.20,3.76
35,0.40,3.29
36,0.40,2.96
37,1.00,2.76
38,2.60,2.58
39,0.40,2.64
40,5.20,2.67
41,3.20,3.13
42,0.40,3.83
43,0.00,5.04
44,0.00,6.00
45,0.40,6.11
46,0.00,5.21
47,0.00,4.39
48,0.00,3.83
49,0.00,3.35
50,0.00,2.87
51,0.00,2.47
52,0.00,2.30
53,0.00,2.02
54,0.00,1.77
55,0.00,1.54
56,0.20,1.38
57,0.00,1.29
58,0.00,1.21
59,0.00,1.14
60,0.00,1.07
61,0.00,1.02
62,0.00,0.97
63,0.40,0.93
64,0.00,0.88
65,0.00,0.85
66,0.00,0.82
67,0.00,0.78
68,0.00,0.75
69,0.20,0.73
70,0.00,0.71
71,0.00,0.68
72,0.00,0.66
